Date,Ahmedabad,Amreli,Anand,Banas Kantha,Bharuch,Bhavnagar,Dahod,Gandhinagar,Jamnagar,Junagadh,Kachchh,Kheda,Mahesana,Narmada,Navsari,Panch Mahals,Patan,Porbandar,Rajkot,Sabar Kantha,Surat,Surendranagar,The Dangs,Vadodara,Valsad
01-03-2003,50.57,51.27,46.65,45.83,47.63,51.33,46.71,45.05,48.09,50.85,48.55,46.07,46.49,48.19,44.81,46.03,48.65,48.67,50.09,47.01,48.43,51.05,46.83,47.59,44.85
02-03-2003,43.43,44.43,41.15,38.61,43.81,44.39,41.97,37.31,39.17,42.27,38.77,40.69,37.23,43.43,41.33,42.23,36.83,38.69,45.53,41.05,46.01,45.93,45.55,44.99,43.11
03-03-2003,35.75,39.93,37.35,33.75,40.59,39.27,42.51,35.27,32.69,40.15,35.69,38.29,33.83,42.93,38.23,40.61,30.93,34.71,34.99,38.25,43.27,29.75,42.05,41.61,40.39
04-03-2003,0,0,0,28.57,23.55,0,0,0,34.33,36.93,38.81,0,19.25,32.45,35.07,0,31.55,34.53,34.63,19.41,31.11,29.89,39.51,23.23,38.81
05-03-2003,38.95,40.91,37.33,40.09,44.09,40.67,38.91,36.21,41.33,46.49,42.59,38.21,38.93,44.71,42.65,39.43,42.11,43.17,40.65,42.81,41.65,39.29,46.01,42.91,45.01
06-03-2003,47.91,47.85,43.45,45.23,45.43,47.03,43.91,41.57,47.27,47.67,52.05,44.09,45.77,44.85,40.87,43.51,46.69,46.49,48.03,46.91,43.93,49.19,40.67,44.85,41.71
07-03-2003,49.49,49.77,45.05,44.65,49.37,49.97,47.11,42.59,47.35,51.63,49.81,45.73,46.01,50.41,47.79,46.85,46.39,47.73,49.75,49.53,48.27,48.59,48.23,49.83,48.13
08-03-2003,52.27,54.25,45.87,49.01,49.35,51.93,46.31,43.07,53.87,54.57,53.51,46.15,45.89,49.39,46.39,46.81,49.83,52.49,54.35,48.09,50.13,52.91,48.81,49.69,47.39
09-03-2003,46.07,48.47,43.69,43.55,48.21,47.79,48.79,43.45,48.37,48.23,47.95,48.79,43.79,49.11,45.33,49.21,44.71,45.63,47.63,49.47,48.15,45.67,49.19,49.59,46.47
10-03-2003,51.33,53.95,48.67,42.11,49.41,52.65,48.37,44.03,49.45,53.13,48.27,49.15,44.39,50.51,45.79,49.47,44.31,50.23,51.25,48.55,51.91,49.75,48.85,50.23,47.53
11-03-2003,44.13,43.25,36.23,36.31,42.05,43.87,39.39,32.99,41.07,40.29,43.51,35.41,35.55,44.73,41.27,39.33,35.69,0,43.53,38.89,45.77,43.95,44.65,44.53,42.83
12-03-2003,49.23,48.19,45.67,46.03,48.97,48.81,46.57,44.83,47.89,49.69,49.73,46.41,46.93,50.89,46.29,47.49,48.77,46.39,49.13,50.15,51.25,49.87,48.07,49.39,47.11
13-03-2003,41.33,47.81,40.93,0,0,41.99,36.91,37.03,48.41,47.43,49.43,39.59,38.31,0,0,0,41.89,47.25,47.61,39.37,0,43.81,0,35.53,0
14-03-2003,47.83,49.37,45.25,41.47,49.57,45.77,47.13,42.57,47.37,45.59,43.87,47.49,42.95,52.23,48.99,48.45,43.63,45.25,49.41,45.99,49.65,48.45,50.05,50.75,48.63
15-03-2003,43.29,46.33,41.97,34.67,42.59,46.27,40.49,41.75,46.89,47.65,47.91,42.95,42.29,46.61,43.69,42.49,41.03,48.25,48.79,47.17,45.31,45.55,45.61,47.13,44.77
16-03-2003,46.21,49.55,43.27,44.25,45.93,48.65,47.89,42.47,44.67,48.57,44.61,47.45,42.61,49.31,45.55,47.23,42.53,44.51,46.27,48.43,50.15,44.91,49.53,48.23,47.01
17-03-2003,49.93,50.59,45.77,45.53,47.59,50.97,44.43,43.91,49.93,49.19,50.81,47.13,45.79,47.43,43.55,46.09,48.63,47.43,49.13,48.15,47.77,48.83,45.87,45.67,45.85
18-03-2003,44.23,43.85,38.73,40.61,43.09,44.63,44.23,38.95,39.77,41.15,43.35,43.79,40.29,44.33,42.89,43.43,39.67,32.45,41.05,44.09,43.87,43.77,44.83,44.51,44.67
19-03-2003,51.27,51.33,48.65,48.53,49.47,51.45,50.13,48.29,51.55,51.13,52.51,51.05,48.91,50.67,45.91,50.73,50.31,50.45,51.57,52.03,51.09,51.95,48.45,50.43,46.37
20-03-2003,36.63,0,41.23,42.95,46.81,0,44.11,39.09,47.85,47.91,50.67,42.47,38.09,46.93,43.09,43.77,44.71,47.83,47.91,42.77,46.53,43.71,46.11,47.67,45.27
21-03-2003,52.75,54.01,51.45,50.47,54.07,53.63,51.81,50.55,53.59,54.21,53.41,52.89,51.89,55.39,52.13,53.67,51.79,53.25,53.71,53.55,56.61,52.17,54.21,55.29,53.49
22-03-2003,47.896,47.79122811,45.73136578,46.48871875,45.41407076,47.4210506,47.31250815,43.47397174,48.03808719,49.92697017,51.87740128,46.72457916,45.39451757,47.50459606,42.41532182,44.7669267,47.54736868,44.17277623,49.453694,48.12518778,48.41570825,49.33348629,47.17119189,48.72067142,43.66794832
23-03-2003,52.87,53.39,48.71,50.13,51.09,54.59,52.15,48.67,51.63,52.71,56.13,52.41,49.69,53.27,50.61,49.85,50.39,49.89,53.79,54.41,53.31,51.97,52.67,52.69,51.65
24-03-2003,54.73,52.81,50.93,50.63,50.43,54.57,51.93,50.31,55.75,50.91,58.65,54.81,50.47,50.63,45.07,52.67,48.97,49.61,52.05,54.79,50.17,54.87,48.13,51.37,46.11
25-03-2003,50.13,47.75,47.57,46.29,47.45,49.05,49.53,45.55,43.37,47.37,50.43,46.31,46.69,48.93,44.81,46.15,46.31,42.61,46.31,48.51,48.83,49.69,48.47,49.09,45.87
26-03-2003,53.81,52.37,49.75,51.85,50.47,53.69,50.59,50.31,51.51,51.99,57.23,50.57,51.89,52.37,48.59,50.43,54.09,52.53,52.65,51.23,52.15,55.05,51.35,50.87,48.99
27-03-2003,45.21,44.97,41.47,44.45,43.75,43.81,44.63,42.35,44.71,43.41,51.59,44.93,45.07,46.11,44.33,42.99,44.73,0,42.91,46.99,47.45,44.97,45.61,45.25,45.29
28-03-2003,49.01,50.21,44.85,49.55,46.97,50.49,50.79,45.79,50.95,52.39,54.47,45.73,48.77,52.67,48.43,45.09,50.59,51.67,51.77,48.93,54.69,49.51,50.51,51.95,48.99
29-03-2003,50.65,50.51,46.69,44.25,0,51.41,43.81,43.25,45.89,49.61,48.63,43.71,43.55,41.53,0,0,44.05,44.95,48.19,44.25,46.41,48.67,43.79,45.61,0
30-03-2003,48.79,50.07,46.13,50.95,50.23,50.81,48.35,48.11,46.29,49.23,48.49,48.83,48.49,50.47,48.75,48.51,47.65,46.51,47.11,52.49,51.43,49.41,51.89,49.81,49.65
31-03-2003,47.73,48.09,46.79,45.63,47.53,48.15,49.17,46.45,48.63,48.99,52.65,49.39,45.07,48.25,43.91,49.05,48.67,49.07,49.17,49.57,49.03,47.77,45.67,48.25,44.47
01-04-2003,48.42232967,48.31640644,46.23390826,46.9995838,45.91312649,47.94216104,47.83242582,43.9517077,48.56597826,50.4756182,52.44748261,47.23803607,45.89335842,48.02662459,42.88142426,45.25887095,48.06986723,44.65819136,49.99714119,48.654036,48.947749,49.87561252,47.68955663,49.25606341,44.14781588
02-04-2003,55.29,56.71,52.33,49.63,53.65,56.13,50.43,49.25,53.25,54.59,54.77,50.07,49.15,53.95,48.45,49.83,52.17,52.47,53.71,50.13,53.83,54.75,51.25,51.45,49.03
03-04-2003,43.69,46.21,42.25,39.69,44.37,46.07,48.87,43.39,25.07,40.29,37.91,47.99,39.71,49.11,45.83,46.45,37.01,26.43,40.83,48.35,48.79,43.17,49.19,49.73,46.33
04-04-2003,50.87,51.07,45.73,52.63,42.91,50.29,44.73,45.45,53.19,52.87,57.91,43.75,48.69,44.71,42.71,45.25,54.37,51.31,52.91,44.69,44.97,52.51,45.71,46.73,43.95
05-04-2003,32.29,0,33.11,40.43,34.15,0,41.81,0,47.13,45.53,52.85,36.81,32.09,39.05,0,36.63,44.77,45.23,45.61,33.47,43.79,42.25,45.53,43.75,40.25
06-04-2003,51.85,51.45,50.97,53.05,53.43,52.17,54.25,50.25,52.53,51.29,53.63,52.61,49.71,55.35,51.61,53.03,54.11,49.97,51.19,52.85,55.09,51.57,53.95,54.89,53.15
07-04-2003,54.85,55.17,51.63,48.73,63.29,54.65,59.29,47.23,57.07,53.57,55.17,55.71,48.51,45.49,44.43,62.45,51.73,52.75,57.15,49.19,63.29,54.17,42.13,58.41,45.01
08-04-2003,52.65,63.73,51.15,50.67,54.39,54.27,55.21,50.47,55.07,62.67,58.39,53.97,50.61,55.41,52.95,53.75,52.59,58.39,62.17,54.37,55.65,55.15,53.75,55.93,53.19
09-04-2003,55.29,61.79,51.07,55.07,54.93,56.27,53.05,50.93,58.19,62.09,61.51,53.83,51.89,52.75,47.17,52.69,55.49,57.73,60.43,54.27,53.27,55.71,49.73,52.63,48.25
10-04-2003,56.57,60.65,58.47,50.31,56.21,60.83,57.87,48.09,52.65,55.61,56.03,59.01,50.49,55.91,50.65,58.61,51.63,50.25,56.25,55.11,57.63,56.05,53.53,58.69,58.07
